sno,year,name,Rating,hour
635,1971,The Fassbinder Collection: Pioneer in Ingolstadt,3.6,3
636,1980,Stir Crazy,2.7,3
637,2001,National Geographic: Inside American Power: Air Force One,5,2
638,1985,The Last Dragon,3,1
639,2002,Jim Brown: All-American,1.7,2
640,1992,To Catch a Killer,2.8,3
641,1968,Charly,3.2,1
642,1990,Mystery Science Theater 3000: The Hellcats,4.4,2
643,2002,Buying the Cow,2.6,1
644,1994,Cheyenne Warrior,3.9,2
645,2004,Dear Frankie,3.6,1
646,1987,Matewan,2.5,1
647,1960,Cinderfella,1.4,3
648,2003,John Mayall & The Bluesbreakers and Friends: 70th Birthday Concert,3.5,2
649,1999,Ricky Martin: The Ricky Martin Video Collection,4.5,2
650,2002,Elvira's Haunted Hills,2.7,1
651,1997,The Rainbow Fish / Dazzle the Dinosaur,2.6,2
652,1996,Marvin's Room,1.2,2
653,2000,American Tragedy,4.5,2
654,1975,Return of the Chinese Boxer,4.1,2
655,1965,Green Acres: Season 1,2.1,1
656,2004,Veronica 2030,4.3,2
657,1996,Highlander: Season 5,1.3,1
658,1991,Robin Hood: Prince of Thieves,1.4,3
659,1972,The Last House on the Left,1.7,3
660,2000,Saving Grace,2.6,2
661,2002,Who is Cletis Tout?,4.7,1
662,1995,Rob Roy,3.9,3
663,1999,La Femme Nikita: Season 3,4.6,2
664,1997,Office Killer,2.9,2
665,1976,Lipstick,2.3,1
666,2000,The Man Who Came to Dinner,2.5,2
667,1965,Gilligan's Island: Season 2,3.4,2
668,2004,Saturday Night Live: The Best of Will Ferrell 2,4.1,1
669,1986,Real Kung Fu of Shaolin,1.1,3
671,1989,The Winter People,3.7,2
673,1999,Fight Club: Bonus Material,2.4,3
674,1988,Hellbound: Hellraiser II,4.5,3
675,2004,Rugrats All Grown Up: O' Brother!,4.4,1
676,1998,Mafia!,3,1
677,2001,In the Mood for Love,1.4,1
678,1965,Loves of a Blonde,3.9,1
679,1990,R.E.M.: Pop Screen,2.2,2
680,2000,Better Than Sex,4.6,3
681,1986,Police Academy 3: Back in Training,4.3,1
682,1998,The Mighty,2.9,2
683,1951,Cavalry Charge,2.1,3
684,1995,Visitors of the Night,2.6,2
685,1999,Running Out of Time,4,1
686,2000,Bedazzled,4.4,3
687,2003,Peter Jennings Reports: The Kennedy Assassination: Beyond Conspiracy,4.9,3
688,2003,The History Channel Presents: The Alamo,1.9,3
689,1998,One True Thing,3.9,2
690,2004,Baby Einstein: Baby Da Vinci,4.1,1
691,1999,Angel's Dance,1.9,1
692,1992,The Hand that Rocks the Cradle,4.9,3
693,1996,The Quest,3.3,1
694,2000,When Dinosaurs Roamed America,3,2
695,2004,Koma,4.8,1
696,1996,Last Man Standing,3.3,1
697,2000,Caillou: Caillou's Treasure Hunt and Other Adventures,3.8,3
698,1997,Daud,3.4,2
699,2004,Mahoromatic: Automatic Maiden: Summer Special,4.3,1
700,1997,Todd McFarlane's Spawn,1.3,2
701,2002,Nine Lives,4.8,1
702,1996,For the Moment,4.3,1
703,2004,Japan: Memoirs of a Secret Empire,1.7,1
704,1998,A Change of Heart,2.4,2
705,1989,Major League,4.9,2
706,1991,Mobsters,4.1,3
707,2003,The Return,1.4,3
708,2000,The Perfect Storm,4.2,3
709,1998,Africans in America: America's Journey Through Slavery,2.7,3
710,1993,Inspector Morse 9: The Last Enemy,4.6,3
711,1994,Dolores Claiborne,3.6,1
712,1998,Homicide: Life on the Street: Season 7,4,3
713,1987,Cause Celebre,2.6,3
714,1988,Whisper Kill,2.1,1
715,1950,Film Noir Collection: D.O.A.,4.1,3
716,1958,The Bravados,3.6,2
717,2004,Testosterone,4.1,3
718,2003,44 Minutes,4.2,1
719,1997,City of Industry,2.2,3
720,1989,Roger & Me,1.7,2
721,1994,Royal Deceit,1.1,2
722,2003,The Wire: Season 1,2.7,3
723,1991,Curly Sue,1.2,1
724,1992,Yu Yu Hakusho,4.7,1
725,2004,Woman Thou Art Loosed,3.9,2
726,1990,The Haunting of Morella,1.5,3
727,1959,Carlton-Browne of the F.O.,4,2
728,1977,Abigail's Party,3.3,1
730,1988,Bagdad Cafe,4.2,3
731,1997,Mr. Magoo,1.6,1
732,2005,11:14,4.2,2
733,1988,Dead Ringers,1.1,1
734,1992,Indochine,4.4,3
735,2003,Hillary & Tenzing: Climbing to the Roof of World,4.6,3
736,2002,The Last Man,3.4,1
737,2004,Great Pas de Deux,2.8,3
738,1999,A Slipping Down Life,1.3,1
739,2001,Treading Water,4.8,2
740,1988,The House on Carroll Street,4.8,2
741,1988,Ken Burns' America: The Congress,3.6,3
742,2002,Sherlock: Case of Evil,4.4,2
743,1994,Widows' Peak,1.7,1
744,1998,Hot War,1.8,1
745,1979,Fantasy Mission Force,3.8,1
746,2001,Domestic Disturbance,3.1,1
747,1996,Saber Marionette J,4.5,2
748,2002,I Can Do Bad All By Myself,4.7,3
749,1990,Ernest Goes to Jail,1.4,1
750,2004,The Librarian: Quest for the Spear,2.2,3
751,1998,Halloween: H2O,1.6,1
752,1993,Star Trek: The Next Generation: Season 7,3.7,3
753,1964,Mary Poppins: Bonus Material,3.9,2
754,1984,The Lonely Guy,3.5,2
755,1989,Music Box,3,3
756,2000,The Best of MusikLaden: Classic Rock,4.7,1
757,1984,Sherlock Hound,2.1,3
758,2004,Mean Girls,4.9,2
759,2001,Fifteen Minutes,4,1
760,2005,Pooh's Heffalump Movie,1.6,3
761,2000,O Fantasma,4.8,3
762,2004,End of the Century: The Story of the Ramones,2.9,2
763,1972,The Poseidon Adventure,1.1,3
764,1983,Scarface: 20th Anniversary Edition: Bonus Material,1.9,2
765,1994,Grief,4.1,2
766,1959,A Hole in the Head,1.1,1
767,2001,Edges of the Lord,4,3
768,1995,The Star Maker,3.4,1
769,1958,The Crawling Eye,3.9,2
770,1996,A Perfect Candidate,3.1,1
771,1999,Man in the Iron Mask,2.7,3
772,1998,Gloria Estefan: Don't Stop!,1.2,2
773,2001,He Died with a Felafel in His Hand,4.4,1
774,2003,Foyle's War: Set 2,3.8,3
775,1999,Man Ray: Prophet of the Avant Garde,2.4,2
777,1944,Sherlock Holmes and the Spider Woman,1.9,3
778,2003,A Touch of Frost: Seasons 7 & 8,1,3
779,2000,Loving Jezebel,2,3
780,2003,Churchill,2.5,3
781,2004,Care Bears: Journey to Joke-a-Lot,1.2,1
782,1998,Soldier of Fortune,2.8,3
783,2001,For Love or Country,2.8,1
784,1995,The Outer Limits: The New Series: Aliens Among Us,4.9,2
785,1981,American Pop,1.8,3
786,1966,Tokyo Drifter,1,1
787,1972,La Vallee,4.3,2
788,1994,Clerks,4.2,3
789,1991,Boyz N the Hood,1.4,3
790,2000,A Single Girl,2.2,3
791,2000,Don Henley: Live Inside Job,3.8,2
792,2004,Unsolved History: Salem Witch Trials,3.9,2
793,2004,By Brakhage: An Anthology,4.2,3
794,1992,A Stranger Among Us,3.3,1
795,1997,Landmarks of Early Film,1.8,1
796,1976,Rabid,4.1,3
797,1959,Look Back in Anger,1.7,1
798,1975,Jaws,4.5,3
799,2003,Teen Titans: Season 1,3.6,1
800,1971,Dracula Vs. Frankenstein,3.1,2
801,2001,We Know Where You Live. Live!,3,1
802,1928,Spies,1.1,3
803,2001,Soul Assassin,1.2,1
804,1944,Sherlock Holmes: The Scarlet Claw,1.1,3
805,1968,Dark Shadows: Vol. 11,3.7,2
806,1960,Eyes Without a Face,1.6,3
807,1959,The Mouse That Roared,2.1,1
808,1998,Dead Man on Campus,4.4,3
809,2002,Left Behind II: Tribulation Force,2.3,2
810,1958,The Matchmaker,2.9,1
811,1992,The Lawnmower Man,1.8,2
812,2001,The Saddle Club: Horse Crazy,2.2,2
813,2000,On Cukor,3.2,3
814,2000,Ruin Explorers,4.8,2
815,1959,Tiger Bay,4.9,1
816,2001,Marlene Dietrich: Her Own Song,4.5,1
817,1980,My Bodyguard,1.5,1
818,1976,Logan's Run,4,1
819,1998,The Faculty,3.1,3
820,2005,Predator Island,1.1,1
821,1972,Slaughter,1.9,2
822,2001,Star Trek: Enterprise: Season 1,1.8,3
823,1988,Sleepaway Camp II: Unhappy Campers,2,2
824,1977,A Piece of the Action,1.2,2
825,1983,Bill Cosby: Himself,3.7,1
826,1998,Goosebumps: Cry of the Cat,2.4,3
828,1991,Atlantis,2.1,3
829,1995,Serial Mom,1.6,1
830,1994,Return to a Better Tomorrow,4.6,2
831,1987,Mannequin,2.8,2
832,2003,Tupac: Resurrection,2.9,2
833,1996,White Squall,5,1
835,1994,Cirque du Soleil: A Baroque Odyssey,3.5,3
836,1991,Incident at Oglala: The Leonard Peltier Story,4.4,2
837,1972,All in the Family: Season 3,1.6,3
838,2003,Gang of Roses,1.3,3
839,1945,The Thin Man Goes Home,3.4,2
840,1941,The Lady Eve,1.8,1
841,1994,There Goes My Baby,4.8,1
842,1942,Reap the Wild Wind,3.5,1
843,1999,Mansfield Park,2.1,1
844,2001,La Cienaga,2.1,2
845,2004,If We Had No Moon,4.2,2
846,2004,Enduring Love,3.9,1
847,2001,Shania Twain: The Platinum Collection,2.1,3
848,1994,La Separation,1.1,2
849,1990,Mr. & Mrs. Bridge,2.3,3
850,2002,Stoked: The Rise and Fall of Gator,2.8,2
851,1990,Back to the Future Part III,1.4,1
852,1989,Disorganized Crime,3.2,3
853,1993,Dragonball: The Magic Begins,3.6,1
854,1984,Wes Craven's Invitation to Hell,1.6,3
855,2001,Bruiser,1.7,3
856,2000,Devil in the Flesh 2,1.3,2
857,1963,The Three Stooges Go Around the World in a Daze,1.3,3
858,2002,Sports Illustrated Swimsuit Edition: 2002,2.6,2
859,1982,Creepshow,3,2
860,2001,Crime Partners,3.4,3
861,2003,Rush: Rush in Rio,4.1,2
862,2002,Tuck Everlasting,3,3
863,1990,King of New York: Special Edition (Full-screen),3.2,3
864,2001,Laughing Out Loud: Vol. 1,3.8,1
865,2005,Elvis by the Presleys,2.6,3
866,1975,Starsky & Hutch: Season 1,3.4,2
867,2003,My Dream Girl,1.6,1
868,1996,La Promesse,1.9,3
869,1998,Without Limits: NASA Test Projects,1.7,2
870,2005,H.G. Wells and the War of the Worlds: A Documentary,1.7,3
871,1984,The Jewel in the Crown,4.4,1
872,1954,Seven Samurai,2,2
873,2003,Boys Life 4: Four Play,2.3,2
874,2004,Elvis Costello & the Imposters: Live in Memphis,3.8,1
875,1998,Zakhm,1.5,3
876,2001,Super Gals,2.9,2
877,1999,A Love Divided,3.1,1
878,2000,Short: International Release #2,1.5,1
879,1976,Mikey and Nicky,1.3,1
880,1994,Sharpe 4: Sharpe's Enemy,1.1,2
881,1999,Mating Habits of the Earthbound Human,3.3,2
882,1996,Gloria Estefan: Evolution Tour: Live in Miami,2.6,1
883,1992,Deep Cover,3.4,2
884,1991,Cup Final,1.1,2
885,2003,The Maldonado Miracle,5,1
886,2004,Ray,3.5,2
887,2005,Monster-in-Law: Bonus Material,4.3,3
888,2001,Discovering Australia,3.5,3
889,2004,Reno 911: Season 2,1.1,2
890,1999,Harsh Realm: The Complete Series,4.2,1
892,1965,The Bedford Incident,2.9,1
893,2003,Blue's Clues: Classic Clues,3.8,2
894,1999,The Muse,1.4,3
895,1975,Dersu Uzala,1.1,2
896,1995,Dangerous Minds,5,3
897,2004,Bride and Prejudice,4.6,1
898,2000,The Body,2.8,1
899,2003,Out of Ireland: The Hit Songs and Artists of Irish Music,4.1,3
900,1994,Eat Drink Man Woman,2.2,1
901,1950,Diary of a Country Priest,4.9,2
902,2004,Fascination,3.3,2
903,2000,Hamlet,3,3
904,2004,Gargoyles,4.4,3
905,2005,Remedy,3.5,1
906,1969,Benny Hill: Complete and Unadulterated: The Naughty Early Years: Set 1,2,1
907,1930,Animal Crackers,2.6,3
908,1981,Sense and Sensibility,4.1,3
909,1990,Too Young to Die,1.4,2
910,1940,Santa Fe Trail,3.5,3
911,1939,Buck Rogers,4.3,2
912,2002,Angelina Ballerina: Friends Forever,1.2,1
914,1996,R.E.M.: Road Movie,2.6,3
915,2001,Haven,3.6,3
916,1994,Earth 2: The Complete Series,2.4,2
917,2003,String Cheese Incident: Live at the Fillmore,3.8,2
918,1964,A Hard Day's Night: Collector's Series,4.1,3
919,2002,Comedian,2.5,2
920,1968,Satanis: The Devil's Mass / Sinthia: The Devil's Doll: Double Feature,3,2
921,1952,Don't Bother to Knock,2.2,2
922,2004,Gojoe: Spirit War Chronicle,2.2,2
923,2004,Giant Robo,4.9,3
924,1981,Taxi Zum Klo,3.5,3
925,1936,Dodsworth,4.5,2
926,2002,Fear Of A Punk Planet,4.2,3
927,1991,Danielle Steel's Changes,2.3,3
928,1997,The Night That Never Happened,3.5,1
929,2002,Journeys with George,2.3,1
930,1987,Back to the Beach,3.1,2
931,1998,Another Day in Paradise,4.9,2
932,1992,Where Are We?,4.9,3
933,2005,Backyardigans: It's Great to Be a Ghost,2.3,2
934,1954,River of No Return,3.8,1
935,2003,Read Or Die,4.9,2
936,1990,A Dangerous Man: Lawrence After Arabia,4.8,1
937,1998,Fallen,4.4,1
938,2002,Scarecrow,2.2,2
939,2003,Midsomer Murders: A Tale of Two Hamlets,4.8,1
940,1997,Hercules,3.3,1
941,1998,Screw Loose,4.2,2
942,1994,The Pagemaster,2.9,2
943,2004,Dave Chappelle: For What It's Worth,4.5,1
945,1952,The Duel at Silver Creek,2.9,2
946,2002,Sex and the Teenage Mind,4,2
947,1965,The Cincinnati Kid,2.5,3
948,2002,Aap Mujhe Achche Lagne Lage,3.5,3
949,1997,Henry Fool,3,1
950,1998,Explosive Dance,1.5,3
951,2001,Richard Rodgers: The Sweetest Sounds,3,2
952,1940,My Favorite Wife,1,3
953,1966,Fahrenheit 451,4.4,3
954,2003,I Capture the Castle,1.1,3
955,1997,Rhyme & Reason,4.8,2
956,1994,Blankman,1.8,1
957,1966,Lost in Space: Season 2: Vol. 1,2.3,2
958,2003,World Cup Soccer Highlights: 1966-1974,3.1,1
959,2002,Jay Jay the Jet Plane: Lessons for All Seasons,2.4,2
960,1960,The Unforgiven,2.9,3
961,1957,Love in the Afternoon,4.5,1
962,2002,I Spy,1.3,1
963,1951,A Streetcar Named Desire,2.5,1
964,2001,The Tick: The Entire Series,4,3
965,1985,Metropolitan Opera: Puccini: Tosca,3.9,2
966,1996,Young and Dangerous 2,2.6,3
967,2004,Main Hoon Na,4,2
968,1993,Dottie Gets Spanked,2.3,1
969,1995,Stripteaser,1.2,1
970,2004,Yesterday Once More,2.9,3
971,2002,Unprecedented: The 2000 Presidential Election,3.2,1
972,2003,Ben Harper: Live at the Hollywood Bowl,4.8,1
974,1941,The Devil and Daniel Webster,3,1
975,1997,Convict 762,4.3,3
976,2003,Tom and Jerry: Paws for a Holiday,4.1,1
977,2000,Our Lady of the Assassins,3.2,2
978,2000,Yi Yi,2,3
979,1990,A Moment of Romance,3.4,3
980,1994,The Swan Princess,1.3,3
981,1989,How I Got into College,1.4,3
982,2001,Dil Chahta Hai,1,3
983,1997,Wishful Thinking,1.9,1
984,1958,The Young Lions,4.4,3
985,1999,The Mummy,3.2,2
986,2002,The Trip,5,3
987,1978,Rescue from Gilligan's Island,1.6,3
988,1951,Operation Pacific,4.4,2
989,2004,The Door in the Floor,2.3,3
990,1941,Meet John Doe,4.5,3
991,1997,Burn Up Excess: Vol. 2: Crimes and Missed Demeanors,1.4,3
992,1972,The Cowboys,3.4,3
993,1994,The Shadow,3.8,1
994,1984,Children of the Corn,4.1,3
995,2004,Dark Town,2.6,2
996,1961,Yojimbo,1.1,1
997,1963,Miracle of the White Stallions,4.7,2
998,2002,Frida: Bonus Material,4.4,1
999,1994,The Favor,2.8,2
1000,2002,Jim Breuer: Hardcore,3.6,3
1001,2001,Blow Dry,1.6,2
1002,2001,The Cazalets,2.7,1
1003,2001,Basic Elements: My Complete Fitness Guide,4.3,3
1004,2003,Bookies,3.6,3
1005,2003,Only the Strong Survive,4.9,2
1006,1996,Inspector Morse 30: The Daughters of Cain,4.1,1
1007,1996,America's Dream,4.5,1
1008,1996,Ken Burns' The West,3.2,3
1009,1997,Judaai,3.1,3
1011,1983,All the Right Moves,3.4,3
1012,1960,13 Ghosts,2,3
1013,2005,My Scene Goes Hollywood: The Movie,2.1,1
1014,1993,Pretty Boy,1.7,1
1016,1976,The Killer Inside Me,4.6,2
1017,1955,I Love Lucy: Season 5,4.2,2
1018,1960,Le Petit Soldat,3.8,3
1019,2001,Diamond Hunters,4.2,1
1020,1989,The Simpsons: Season 1,3.6,2
1021,1984,Cloak & Dagger,3,2
1022,1993,The Snapper,1.5,2
1023,1997,Sesame Street: Elmo Saves Christmas,4.4,1
1024,1976,The Return of a Man Called Horse,1.9,3
1025,2004,The Eye 2,2.8,1
1026,1985,Silver Bullet,4.7,1
1027,1993,Rising Sun,1.8,3
1028,2003,The Educational Archives: Vol. 1: Sex & Drugs,3,1
1029,1995,Tromeo and Juliet,1.2,3
1030,1974,Frank Sinatra: The Main Event,2.3,2
1031,1999,Poirot: The Murder of Roger Ackroyd,4.9,1
1032,1992,Hard Boiled,1.1,2
1033,1999,Spy Games,1.4,1
1034,2000,The New Eve,1.6,3
1035,1994,Disclosure,1.6,1
1036,1999,Coral Sea Dreaming,2.8,2
1037,1978,Attack of the Killer Tomatoes,2.8,1
1038,2000,Boogiepop Phantom,3,2
1039,1997,Lawn Dogs,1.5,1
1040,2004,Thomas & Friends: Thomas's Snowy Surprise,2.1,2
1041,2000,Baby Mozart,1.3,2
1042,1996,Forgotten Silver,4.1,1
1043,1987,Outrageous Fortune,1.9,3
1044,1968,The Party,4.2,1
1045,1988,For Keeps,2.6,1
1046,2003,Uptown Girls,4.9,3
1047,2000,Aimee and Jaguar,3.5,2
1048,1997,Year of the Horse: Neil Young & Crazy Horse Live,4.4,3
1049,1991,The Object of Beauty,1.2,3
1050,1982,Annie: Special Anniversary Edition,2.3,3
1051,1994,Blue Chips,2.9,2
1052,1952,The Jack Benny Show: Vol. 1,2.2,2
1053,1997,Mysteries of Magic: Vol. 1,4.3,2
1054,1986,Odin: Photon Space Sailer Starlight,1.3,2
1055,1977,The Duellists,5,3
1056,1962,The War Lover,4.5,3
1057,1989,Doctor Who: Ghost Light,3.5,3
1059,2000,Extreme Bloopers: Sports Gone Wrong,1.3,2
1060,2005,King's Ransom,3.9,3
1061,2004,Spider-Man vs. Doc Ock,1.9,2
1062,1974,California Split,3.6,3
1063,1995,Hemp Revolution,4.7,3
1064,1983,Armored Trooper Votoms Stage 2: Kummen Jungle Wars,2,3
1065,2001,Jackpot,4.7,1
1066,1978,Superman: The Movie,1.1,2
1067,1956,Earth vs. The Flying Saucers,1.1,2
1068,1998,Ringu,1.5,2
1069,2003,The Inspector Lynley Mysteries: A Suitable Vengeance,4.1,3
1070,2000,Bangkok Dangerous,2.9,1
1071,1995,The Ice Princess,1.3,2
1072,2000,As Time Goes By: Series 8,3.2,2
1073,2005,Coach Carter,2.6,3
1074,1946,The Postman Always Rings Twice,1.2,1
1075,2001,Tape,3.7,2
1076,2004,American Chopper: Season 2,4.3,2
1077,1945,Leave Her to Heaven,2.1,2
1078,2000,After the Storm,3.7,3
1079,1991,The Gambler Returns: The Luck of the Draw,4.8,3
1080,2002,Hysterical Blindness,1.5,2
1081,2002,Back by Midnight,2.1,3
1082,1997,Flood: A River's Rampage,3.6,1
1083,1962,Tales of Terror,3,3
1084,2001,Walking with Prehistoric Beasts,4.5,3
1085,2003,Bright Leaves,4.5,3
1086,1938,Three Stooges: Stooges at Work,2.6,2
1087,1994,Monkey Trouble,3,1
1088,1980,Hammer House of Horror,1.6,3
1089,2000,The Land Before Time VII: Stone of Cold Fire,2.3,3
1090,1997,Eel,1.1,2
1091,1980,Dostana,1,3
1092,1996,Thin Line Between Love & Hate,2.6,1
1093,1980,The Leg Fighters,3.2,3
1094,2002,Nicholas Nickleby,1.8,2
1096,1989,Harlem Nights,4.5,2
1097,2005,Winning Strategies: Texas Hold 'Em Poker with Mike Caro,1.2,3
1098,1965,The Battle of Algiers,3.1,3
1099,1983,Confidentially Yours,4.2,1
1100,2000,Dr. T & the Women,2.3,1
1101,1976,The Slipper and the Rose,3,1
1102,2001,Training Day,4.9,3
1103,1997,Jane Eyre,3.3,1
1104,1983,Krull,2.6,1
1105,1993,RoboCop 3,4.9,3
1106,1998,Virtual Girl,3.9,2
1107,2004,NBA Street Series: Ankle Breakers: Vol. 2,1.6,3
1108,2000,Dr. Andrew Weil: 8 Weeks to Optimum Health & Spontaneous Healing,4.4,1
1109,1964,My Fair Lady: Special Edition: Bonus Material,4.3,1
1110,2003,Secondhand Lions,4.8,2
1111,1972,Cries and Whispers,2.5,2
1112,1957,The Delicate Delinquent,1,1
1113,1998,Lost Universe,3.4,1
1114,1929,Hell's Angels,1,2
1115,1991,Hammers Over the Anvil,1.7,2
1116,1984,Runaway,3,2
1117,1991,Vegas in Space,3.5,1
1118,1980,Moscow Does Not Believe in Tears,1.6,3
1119,2005,Pink Floyd: Inside Pink Floyd: A Critical Review 1975-1996,2.5,1
1120,1982,Quest for Fire,2,3
1121,2001,MVP 2: Most Vertical Primate,3.5,2
1122,1980,The Attic / Crawl Space (Double Feature),4.3,2
1123,1993,Dragon: The Bruce Lee Story,4,3
1124,1932,Rain,4.7,1
1125,2001,Automotive Series: Porsche,4.3,2
1126,2003,Uncovered: The Whole Truth About the Iraq War,1.2,3
1127,1973,Clive Barker's Salome / The Forbidden,1.5,1
1128,1971,Sweet Sweetback's Baadasssss Song,3.3,2
1129,1935,Mutiny on the Bounty,3.3,2
1130,1991,Impromptu,1.1,3
1131,1965,Chained Girls / Daughters of Lesbos: Double Feature,2.1,2
1132,1994,Romeo is Bleeding,3.5,1
1133,2003,Malibu Spring Break,2.4,1
1134,2005,Empire Falls,4.5,1
1135,1996,Paradise Lost: The Child Murders at Robin Hood Hills,4.5,2
1136,1993,Naked,4.2,1
1137,2004,Artie Lange: It's the Whiskey Talkin',4.6,2
1138,2003,Freddy vs. Jason,3.2,3
1139,2003,Wolf's Rain,1.7,1
1140,1996,To Gillian on her 37th Birthday,1,1
1141,2004,Kyun! Ho Gaya Na,3.7,3
1142,1981,Polyester,2.3,1
1143,1943,Phantom of the Opera,1.5,3
1144,1991,Fried Green Tomatoes,4.9,1
1145,2001,The Wedding Planner,4,1
1146,1983,Fearless Hyena 1 / Fearless Hyena 2,3.1,2
1147,1983,To the Lighthouse,2.3,1
1148,1981,For Your Eyes Only,4.8,1
1149,2001,Electric Light Orchestra: Zoom Tour Live,2.4,2
1150,2000,Hate.com,1.6,3
1151,2001,Valentine,1,2
1152,1999,Charisma,2.1,1
1153,1943,On Approval,3.2,1
1154,1971,Twitch of the Death Nerve,5,1
1155,1980,Magnum P.I.: Season 1,1.6,2
1156,2004,Being Ron Jeremy,4.9,1
1157,1997,Chinese Box,2.3,1
1158,2004,I Do (But I Don't),3,1
1159,1961,Rocky & Bullwinkle: The Best of Fractured Fairy Tales: Vol. 1,1.5,3
1160,1999,In Too Deep,4.8,1
1161,2000,Take Me Home: The John Denver Story,3.4,2
1162,2003,Onmyoji 2,3.6,3
1163,1984,2010: The Year We Make Contact,1.5,3
1164,1980,Return of the Secaucus 7,2.6,1
1165,1999,Witness Protection,2.6,3
1166,1950,Great Rupert,4.8,2
1167,1999,La Buche,2.1,3
1168,2004,Rodney Dangerfield: No Respect: The Ultimate Collection,1.4,3
1169,1997,Bjork: Shepherds Bush Empire,4.6,3
1171,2001,RoboCop: Crash and Burn,2.9,3
1172,1998,Krippendorf's Tribe,4,1
1173,1999,Walking with Dinosaurs,1.2,2
1174,1993,The Sandlot,1.3,1
1175,1984,Repo Man,2.2,1
1176,2001,The Devil's Backbone,1.6,1
1177,2004,Essential Music Videos: Totally 80s,2,2
1178,1932,Boudu Saved from Drowning,1.7,1
1179,1997,The Education of Little Tree,4.1,3
1180,2001,A Beautiful Mind,3.1,1
1181,2003,Rolie Polie Olie: Springy-Time Fun,3.9,1
1182,1978,Gray Lady Down,2.1,1
1183,1980,Night of the Hunted,4.3,1
1184,2004,The Wizard of Oz,2.9,3
1185,1998,Mischievous,2.3,2
1186,1939,Jamaica Inn,3,1
1187,1971,The Abominable Dr. Phibes,4.5,2
1188,2002,A Little Inside,3.7,2
1189,1986,Aida: Giuseppe Verdi: Teatro Alla Scala,3.4,3
1190,1996,The Late Shift,4.1,2
1191,1997,Most Wanted,2.4,2
1192,2004,Masters of Poker: Phil Hellmuth's Million Dollar Texas Hold'em Tournament Strategies,2.4,3
1193,1998,Beloved,3.2,3
1194,1997,Fall,1.4,3
1195,1988,Madonna: The Girlie Show: Live Down Under,2.1,3
1196,2004,Secrets of Lost Empires 2: Medieval Siege,3.6,3
1197,1999,50 Years: The Best of Hollywood,2.9,3
1198,1971,The Cat O'Nine Tails,1.4,3
1199,1975,Queen of the Stardust Ballroom,2,3
1200,1999,Teaching Mrs. Tingle,1.8,2
1201,1991,True Colors,2,1
1202,1983,National Lampoon's Vacation,3.2,2
1203,1963,The Andy Griffith Show: Vol 3: Andy Discovers America / Andy's English Valet,4.9,1
1204,1990,Iron & Silk,4.4,1
1205,1994,Dragstrip Girl,2.5,1
1206,2005,Bratz: Rock Angelz,1.4,2
1207,1962,Experiment in Terror,2.2,3
1208,1963,The Twilight Zone: Vol. 15,1.8,1
1209,1976,Swashbuckler,3.7,3
1211,2004,Modigliani,3.4,3
1212,1988,Red Dwarf: Series 2: Bonus Material,4.4,1
1213,1999,VeggieTales: Madame Blueberry,3,3
1214,1972,Bawarchi,1.4,2
1215,1987,Walk Like a Man,3.8,1
1216,1993,Fire in the Sky,2.7,3
1217,2001,Dragon Tales: Let's Share! Let's Play!,2.3,1
1218,1972,Frenzy,3.1,3
1219,2003,Blind Shaft,4.6,1
1220,2004,Man on Fire,3.4,2
1221,1980,Seems Like Old Times,2.5,2
1222,1979,Little House on the Prairie: Season 6,2.3,2
1223,1999,Hard,2.4,3
1224,1947,The Ghost and Mrs. Muir,2.8,1
1225,2000,Jim Breuer: Heavy Metal Comedy,4.9,3
1226,1971,Summer of '42,2.2,2
1227,2005,The Horror Within,4.3,3
1228,2004,The Carol Burnett Show: Let's Bump Up the Lights!,3,1
1229,1994,Speechless,2.1,1
1230,2005,Carlos Mencia: Not for the Easily Offended: Live in San Jose,2.9,2
1231,1999,Batman Beyond: Tech Wars / Disappearing Inque,2.9,1
1232,1927,It,2.4,3
1233,2002,Repli-Kate,1.7,2
1234,1994,Crooklyn,1.4,1
1235,1998,The Great Battles of World War II: Battle of Russia,4.4,2
1236,2002,Ali G Indahouse,4.9,3
1237,1999,The Stars of Star Wars,1.3,3
1238,1984,The Pope of Greenwich Village,4.4,1
1239,1973,The Arena,4.4,1
1240,1950,Destination Moon,3.9,1
1241,1945,The Story of G.I. Joe,3.6,2
1242,2005,Billy Blanks: Tae Bo: Fat Blasting Cardio,3,3
1243,1998,La Femme Nikita: Season 2,4.3,1
1244,2002,Sex with Strangers,2.6,2
1245,1994,Threesome,2.6,1
1246,1994,Gunmen,2.5,1
1247,2005,Warren Miller's Impact,2.1,2
1248,2002,The Real Eve,1.4,2
1249,1978,Taxi: Season 1,2.9,2
1250,1996,Brassed Off,1.9,2
1251,2002,Frankenthumb,4.5,1
1252,1975,The Story of O,3,3
1253,1949,The Barkleys of Broadway,3.2,3
1254,1957,Designing Woman,4.2,2
1255,1985,Better Off Dead,3.4,3
1256,1994,The Best of Friends: Vol. 4,2.8,2
1257,2003,Tupperware!: American Experience,3.2,2
1258,1942,Wake Island,4.8,2
1259,2002,David Gilmour in Concert,2.3,1
1260,1999,Journey to the Center of the Earth,3.7,3
1261,2005,Mojados: Through the Night,2.5,3
1262,1982,Dead Men Don't Wear Plaid,4.7,3
1263,1979,Snake & Crane Arts of Shaolin,2.5,3
1264,2000,The Closet,1.5,3
1265,1971,Women in Cages,1,3
